client_id,credit_product_type,issue_date,first_payment_date,first_payment_fact_date,initial_credit_score,client_segment
1001,Рассрочка,2025-08-02,2025-09-02,2025-09-02,710,"Постоянный покупатель"
1002,"Кредитная карта",2025-08-03,2025-09-03,2025-09-01,780,"Ozon Premium"
1003,Рассрочка,2025-08-05,2025-09-05,2025-09-05,650,"Постоянный покупатель"
1004,Рассрочка,2025-08-08,2025-09-08,2025-09-11,590,"Новый на Ozon"
1005,"Кредитная карта",2025-08-11,2025-09-11,NULL,450,"Новый на Ozon"
1006,"Кредитная карта",2025-08-15,2025-09-15,2025-09-14,810,"Ozon Premium"
1007,Рассрочка,2025-08-19,2025-09-19,2025-09-20,680,"Постоянный покупатель"
1008,Рассрочка,2025-08-22,2025-09-22,NULL,510,"Новый на Ozon"
1009,"Кредитная карта",2025-08-25,2025-09-25,2025-09-25,730,"Постоянный покупатель"
1010,Рассрочка,2025-08-28,2025-09-28,2025-10-02,550,"Постоянный покупатель"
